README			About Perl
README.aix		Perl version 5 on IBM AIX (UNIX) systems 
README.amiga		Perl under Amiga OS 
README.android		Perl under Android 
README.bs2000		building and installing Perl for BS2000. 
README.ce		Perl for WinCE 
README.cygwin		Perl for Cygwin 
README.dos		Perl under DOS, W31, W95. 
README.freebsd		Perl version 5 on FreeBSD systems 
README.haiku		Perl version 5.10+ on Haiku 
README.hpux		Perl version 5 on Hewlett-Packard Unix (HP-UX) systems 
README.hurd		Perl version 5 on Hurd 
README.irix		Perl version 5 on Irix systems 
README.linux		Perl version 5 on Linux systems 
README.macos		Perl under Mac OS (Classic) 
README.macosx		Perl under Mac OS X 
README.micro		microperl is supposed to be a really minimal perl
README.netware		Perl for NetWare 
README.openbsd		Perl version 5 on OpenBSD systems 
README.os2		Perl under OS/2, DOS, Win0.3*, Win0.95 and WinNT. 
README.os390		building and installing Perl for OS/390 and z/OS 
README.os400		Perl version 5 on OS/400 
README.plan9		Plan 9-specific documentation for Perl 
README.qnx		Perl version 5 on QNX 
README.riscos		Perl version 5 for RISC OS 
README.solaris		Perl version 5 on Solaris systems 
README.symbian		Perl version 5 on Symbian OS 
README.synology		Perl 5 on Synology DSM systems 
README.tru64		Perl version 5 on Tru64 (formerly known as Digital UNIX formerly known as DEC OSF/1) systems
README.vms		Configuring, building, testing, and installing perl on VMS
README.vos		Perl for Stratus OpenVOS 
README.win32		Perl under Windows 
perl.pod		The Perl 5 language interpreter 
perl5004delta.pod	what's new for perl5.004 
perl5005delta.pod	what's new for perl5.005 
perl5100delta.pod	what is new for perl 5.10.0 
perl5101delta.pod	what is new for perl v5.10.1 
perl5120delta.pod	what is new for perl v5.12.0 
perl5121delta.pod	what is new for perl v5.12.1 
perl5122delta.pod	what is new for perl v5.12.2 
perl5123delta.pod	what is new for perl v5.12.3 
perl5124delta.pod	what is new for perl v5.12.4 
perl5125delta.pod	what is new for perl v5.12.5 
perl5140delta.pod	what is new for perl v5.14.0 
perl5141delta.pod	what is new for perl v5.14.1 
perl5142delta.pod	what is new for perl v5.14.2 
perl5143delta.pod	what is new for perl v5.14.3 
perl5144delta.pod	what is new for perl v5.14.4 
perl5160delta.pod	what is new for perl v5.16.0 
perl5161delta.pod	what is new for perl v5.16.1 
perl5162delta.pod	what is new for perl v5.16.2 
perl5163delta.pod	what is new for perl v5.16.3 
perl5180delta.pod	what is new for perl v5.18.0 
perl5181delta.pod	what is new for perl v5.18.1 
perl5182delta.pod	what is new for perl v5.18.2 
perl5184delta.pod	what is new for perl v5.18.4 
perl5200delta.pod	what is new for perl v5.20.0 
perl5201delta.pod	what is new for perl v5.20.1 
perl5202delta.pod	what is new for perl v5.20.2 
perl5210delta.pod	what is new for perl v5.21.0 
perl52110delta.pod	what is new for perl v5.21.10 
perl52111delta.pod	what is new for perl v5.21.11 
perl5211delta.pod	what is new for perl v5.21.1 
perl5212delta.pod	what is new for perl v5.21.2 
perl5213delta.pod	what is new for perl v5.21.3 
perl5214delta.pod	what is new for perl v5.21.4 
perl5215delta.pod	what is new for perl v5.21.5 
perl5216delta.pod	what is new for perl v5.21.6 
perl5217delta.pod	what is new for perl v5.21.7 
perl5218delta.pod	what is new for perl v5.21.8 
perl5219delta.pod	what is new for perl v5.21.9 
perl561delta.pod	what's new for perl v5.6.1 
perl56delta.pod		what's new for perl v5.6.0 
