30/07/14 17:06
Estadísticas del proyecto

                  	Segmentos	Palabras	Caracteres (sin espacios)	Caracteres (incluyendo espacios)	#Files	
Total:            	   101618	 1009341	                  5174448	                         6048719	   173	
Pendientes:       	    61925	  720023	                  3695340	                         4317528	   134	
Únicos:           	    80238	  926826	                  4738644	                         5547531	   173	
Pendientes únicos:	    56183	  675129	                  3461544	                         4046797	   133	


Estadísticas por archivo individual:

Nombre de archivo  	Total segmentos	Segmentos pendientes	Segmentos únicos	Segmentos únicos pendientes	Palabras en total	Palabras pendientes	Palabras únicas	Palabras únicas pendientes	Caracteres en total (sin espacios)	Caracteres pendientes (sin espacios)	Caracteres únicos (sin espacios)	Caracteres únicos pendientes (sin espacios)	Caracteres en total (incluyendo espacios)	Caracteres pendientes (incluyendo espacios)	Caracteres únicos (incluyendo espacios)	Caracteres únicos pendientes (incluyendo espacios)	
perl.pod           	            273	                  30	             273	                         30	             2130	                452	           2130	                       452	                             12400	                                2393	                           12400	                                       2393	                                    14034	                                       2773	                                  14034	                                              2773	
perl5004delta.pod  	            862	                 729	             788	                        713	             9158	               8634	           8972	                      8512	                             46143	                               43633	                           45254	                                      43024	                                    53956	                                      51062	                                  52934	                                             50349	
perl5005delta.pod  	            550	                 473	             503	                        457	             5487	               5221	           5217	                      5055	                             28573	                               27195	                           27261	                                      26387	                                    33089	                                      31559	                                  31577	                                             30618	
perl5100delta.pod  	            840	                   0	             748	                          0	             9026	                  0	           8850	                         0	                             46479	                                   0	                           45471	                                          0	                                    53935	                                          0	                                  52820	                                                 0	
perl5101delta.pod  	            848	                   0	             664	                          0	             7186	                  0	           6713	                         0	                             36784	                                   0	                           34325	                                          0	                                    42221	                                          0	                                  39404	                                                 0	
perl5120delta.pod  	           1495	                 697	             760	                        675	            14416	               9748	          10469	                      9622	                             75108	                               50970	                           54926	                                      50367	                                    86383	                                      58687	                                  63199	                                             57982	
perl5121delta.pod  	            185	                  82	              86	                         82	             1596	               1169	           1179	                      1169	                              8514	                                6228	                            6284	                                       6228	                                     9753	                                       7127	                                   7191	                                              7127	
perl5122delta.pod  	            150	                  64	              62	                         62	             1506	               1120	           1098	                      1098	                              8159	                                6091	                            5984	                                       5984	                                     9296	                                       6933	                                   6807	                                              6807	
perl5123delta.pod  	             54	                   0	              27	                          0	              646	                  0	            356	                         0	                              3457	                                   0	                            1977	                                          0	                                     3982	                                          0	                                   2268	                                                 0	
perl5124delta.pod  	             47	                   0	              19	                          0	              594	                  0	            340	                         0	                              3099	                                   0	                            1786	                                          0	                                     3583	                                          0	                                   2069	                                                 0	
perl5125delta.pod  	            115	                  57	              72	                         56	             1219	                733	            905	                       731	                              6487	                                3972	                            4846	                                       3960	                                     7464	                                       4564	                                   5572	                                              4551	
perl5140delta.pod  	           2110	                1513	            1530	                       1487	            23194	              22103	          21967	                     21799	                            121003	                              115015	                          114253	                                     113312	                                   139831	                                     132991	                                 132116	                                            131042	
perl5141delta.pod  	            170	                   0	              61	                          0	             1254	                  0	            776	                         0	                              6648	                                   0	                            4107	                                          0	                                     7625	                                          0	                                   4722	                                                 0	
perl5142delta.pod  	            113	                   0	              35	                          0	             1092	                  0	            545	                         0	                              5787	                                   0	                            2938	                                          0	                                     6671	                                          0	                                   3393	                                                 0	
perl5143delta.pod  	            129	                  53	              41	                         40	             1234	                825	            626	                       624	                              6510	                                4313	                            3288	                                       3278	                                     7512	                                       4999	                                   3801	                                              3790	
perl5144delta.pod  	            111	                  48	              37	                         33	              983	                584	            472	                       464	                              5324	                                3162	                            2572	                                       2527	                                     6114	                                       3647	                                   2961	                                              2913	
perl5160delta.pod  	           2032	                1356	            1352	                       1328	            21525	              20079	          20014	                     19837	                            111674	                              103808	                          103519	                                     102572	                                   129039	                                     120071	                                 119734	                                            118654	
perl5161delta.pod  	             94	                  39	              41	                         39	              965	                548	            618	                       548	                              5184	                                3005	                            3364	                                       3005	                                     5963	                                       3445	                                   3866	                                              3445	
perl5162delta.pod  	             56	                   0	              15	                          0	              570	                  0	            194	                         0	                              3018	                                   0	                            1066	                                          0	                                     3487	                                          0	                                   1232	                                                 0	
perl5163delta.pod  	             59	                  25	              14	                         13	              654	                353	            182	                       175	                              3432	                                1880	                            1017	                                        980	                                     3974	                                       2179	                                   1171	                                              1127	
perl5180delta.pod  	           1806	                1300	            1266	                       1264	            19326	              18645	          18247	                     18241	                             99898	                               95979	                           93844	                                      93814	                                   115671	                                     111195	                                 108742	                                            108710	
perl5181delta.pod  	            105	                  61	              46	                         46	             1050	                945	            625	                       625	                              5518	                                4933	                            3316	                                       3316	                                     6390	                                       5731	                                   3839	                                              3839	
perl5182delta.pod  	             90	                  48	              36	                         36	              862	                725	            460	                       460	                              4465	                                3728	                            2407	                                       2407	                                     5157	                                       4317	                                   2769	                                              2769	
perl561delta.pod   	           1817	                1292	            1563	                       1251	            19727	              17951	          18684	                     17436	                            104356	                               94439	                           98860	                                      91709	                                   120526	                                     109561	                                 114288	                                            106389	
perl56delta.pod    	           1479	                1063	              16	                          0	            17009	              15504	            209	                         0	                             89695	                               81254	                            1121	                                          0	                                   103726	                                      94391	                                   1294	                                                 0	
perl581delta.pod   	            523	                   0	             430	                          0	             6167	                  0	           5882	                         0	                             31586	                                   0	                           30116	                                          0	                                    36747	                                          0	                                  35075	                                                 0	
perl582delta.pod   	             77	                   0	              36	                          0	              694	                  0	            494	                         0	                              3751	                                   0	                            2667	                                          0	                                     4305	                                          0	                                   3083	                                                 0	
perl583delta.pod   	            104	                   0	              57	                          0	             1023	                  0	            798	                         0	                              5325	                                   0	                            4125	                                          0	                                     6141	                                          0	                                   4788	                                                 0	
perl584delta.pod   	            125	                   0	              70	                          0	             1190	                  0	            910	                         0	                              6175	                                   0	                            4697	                                          0	                                     7124	                                          0	                                   5447	                                                 0	
perl585delta.pod   	            127	                   0	              59	                          0	              918	                  0	            662	                         0	                              4873	                                   0	                            3551	                                          0	                                     5634	                                          0	                                   4110	                                                 0	
perl586delta.pod   	             83	                   0	              42	                          0	              763	                  0	            548	                         0	                              3863	                                   0	                            2767	                                          0	                                     4488	                                          0	                                   3225	                                                 0	
perl587delta.pod   	            186	                  91	              93	                         91	             1352	               1045	           1072	                      1045	                              6944	                                5317	                            5449	                                       5317	                                     8004	                                       6132	                                   6287	                                              6132	
perl588delta.pod   	            799	                   0	             282	                          0	             3866	                  0	           2828	                         0	                             20773	                                   0	                           14903	                                          0	                                    23648	                                          0	                                  17052	                                                 0	
perl589delta.pod   	           1134	                 653	             647	                        642	             8644	               7467	           7469	                      7421	                             45098	                               38800	                           38793	                                      38548	                                    51696	                                      44477	                                  44481	                                             44195	
perl58delta.pod    	           1917	                1365	            1234	                       1216	            18135	              17331	          16544	                     16509	                             95453	                               90893	                           86853	                                      86585	                                   110775	                                     105544	                                 100934	                                            100649	
perlapi.pod        	           6296	                6178	            4753	                       4744	            58531	              58345	          46942	                     46926	                            297955	                              297180	                          242978	                                     242860	                                   340315	                                     339471	                                 276797	                                            276667	
perlapio.pod       	            295	                 217	             275	                        214	             2982	               2698	           2932	                      2676	                             15819	                               13991	                           15585	                                      13878	                                    18297	                                      16315	                                  18036	                                             16186	
perlartistic.pod   	             86	                   0	              66	                          0	             1125	                  0	           1088	                         0	                              5841	                                   0	                            5651	                                          0	                                     6807	                                          0	                                   6600	                                                 0	
perlbook.pod       	            178	                  13	             150	                         13	             1177	                119	           1105	                       119	                              6300	                                 628	                            5979	                                        628	                                     7055	                                        695	                                   6691	                                               695	
perlboot.pod       	              7	                   0	               3	                          0	               42	                  0	             35	                         0	                               249	                                   0	                             205	                                          0	                                      281	                                          0	                                    234	                                                 0	
perlbot.pod        	              7	                   0	               2	                          0	               44	                  0	             23	                         0	                               257	                                   0	                             139	                                          0	                                      291	                                          0	                                    160	                                                 0	
perlcall.pod       	           1135	                 813	             753	                        708	             8674	               8264	           8139	                      8021	                             42314	                               40273	                           39356	                                      38834	                                    49246	                                      47012	                                  46075	                                             45461	
perlcheat.pod      	             97	                  46	              86	                         46	              538	                232	            523	                       232	                              2671	                                1117	                            2587	                                       1117	                                     4029	                                       1943	                                   3936	                                              1943	
perlclib.pod       	            144	                  54	             137	                         54	             1286	                522	           1269	                       522	                              6563	                                2635	                            6476	                                       2635	                                     8448	                                       3444	                                   8303	                                              3444	
perlcommunity.pod  	             76	                  10	              67	                         10	             1093	                176	           1078	                       176	                              5954	                                 882	                            5872	                                        882	                                     6830	                                       1033	                                   6742	                                              1033	
perldata.pod       	            571	                  55	             523	                         50	             6826	                405	           6761	                       392	                             34502	                                2140	                           34103	                                       2051	                                    40549	                                       2533	                                  40101	                                              2430	
perldbmfilter.pod  	             92	                   0	              74	                          0	              773	                  0	            738	                         0	                              3974	                                   0	                            3774	                                          0	                                     4661	                                          0	                                   4441	                                                 0	
perldebguts.pod    	            662	                 568	             554	                        516	             5856	               5464	           5356	                      5145	                             29046	                               27587	                           26437	                                      25699	                                    35370	                                      33702	                                  32498	                                             31634	
perldebtut.pod     	            455	                 322	             403	                        301	             3533	               3164	           3402	                      3079	                             16201	                               14697	                           15510	                                      14256	                                    19891	                                      17980	                                  19072	                                             17444	
perldebug.pod      	            569	                 520	             542	                        511	             6452	               6328	           6362	                      6264	                             32749	                               32209	                           32319	                                      31891	                                    37900	                                      37251	                                  37408	                                             36880	
perldelta.pod      	           1853	                1219	            1150	                       1148	            18687	              17825	          17021	                     17018	                             96572	                               91784	                           87695	                                      87682	                                   111742	                                     106268	                                 101521	                                            101506	
perldiag.pod       	           3434	                3257	            2792	                       2773	            42142	              41570	          37467	                     37388	                            207225	                              204380	                          183065	                                     182658	                                   243049	                                     239917	                                 215106	                                            214650	
perldoc.pod        	            138	                  26	             124	                         26	             1504	                281	           1481	                       281	                              7409	                                1365	                            7265	                                       1365	                                     8515	                                       1582	                                   8362	                                              1582	
perldsc.pod        	            601	                   0	             433	                          0	             3441	                  0	           3173	                         0	                             18408	                                   0	                           16700	                                          0	                                    21677	                                          0	                                  19677	                                                 0	
perldtrace.pod     	            144	                  96	             113	                         92	              946	                846	            885	                       825	                              5812	                                5129	                            5427	                                       4975	                                     7587	                                       6327	                                   7056	                                              6121	
